measure_name,datum,country_id,country_name,first_year,last_year,footnotes,sources
"% of rural women aged 15–49 not wanting to avoid pregnancy",58,AL,Albania,2019,n/a,"The categories of women who do not want to avoid pregnancy are those who are infecund, who are unmarried and not sexually active, who want to have a child in the next two years, who are experiencing a pregnancy they identify as intended or who are experiencing postpartum amenorrhea following an intended pregnancy. These women are considered to have no need for contraception","Adding It Up all women dataset, Open Science Framework, 2021., Sully EA et al.; Adding It Up: Investing in Sexual and Reproductive Health 2019, New York: Guttmacher Institute, 2020., Sully EA et al."
"% of rural women aged 15–49 not wanting to avoid pregnancy",51,AM,Armenia,2019,n/a,"The categories of women who do not want to avoid pregnancy are those who are infecund, who are unmarried and not sexually active, who want to have a child in the next two years, who are experiencing a pregnancy they identify as intended or who are experiencing postpartum amenorrhea following an intended pregnancy. These women are considered to have no need for contraception","Adding It Up all women dataset, Open Science Framework, 2021., Sully EA et al.; Adding It Up: Investing in Sexual and Reproductive Health 2019, New York: Guttmacher Institute, 2020., Sully EA et al."
"% of rural women aged 15–49 not wanting to avoid pregnancy",39,BY,Belarus,2019,n/a,"The categories of women who do not want to avoid pregnancy are those who are infecund, who are unmarried and not sexually active, who want to have a child in the next two years, who are experiencing a pregnancy they identify as intended or who are experiencing postpartum amenorrhea following an intended pregnancy. These women are considered to have no need for contraception","Adding It Up all women dataset, Open Science Framework, 2021., Sully EA et al.; Adding It Up: Investing in Sexual and Reproductive Health 2019, New York: Guttmacher Institute, 2020., Sully EA et al."
"% of rural women aged 15–49 not wanting to avoid pregnancy",53,BA,"Bosnia and Herzegovina",2019,n/a,"The categories of women who do not want to avoid pregnancy are those who are infecund, who are unmarried and not sexually active, who want to have a child in the next two years, who are experiencing a pregnancy they identify as intended or who are experiencing postpartum amenorrhea following an intended pregnancy. These women are considered to have no need for contraception","Adding It Up all women dataset, Open Science Framework, 2021., Sully EA et al.; Adding It Up: Investing in Sexual and Reproductive Health 2019, New York: Guttmacher Institute, 2020., Sully EA et al."
"% of rural women aged 15–49 not wanting to avoid pregnancy",35,BG,Bulgaria,2019,n/a,"The categories of women who do not want to avoid pregnancy are those who are infecund, who are unmarried and not sexually active, who want to have a child in the next two years, who are experiencing a pregnancy they identify as intended or who are experiencing postpartum amenorrhea following an intended pregnancy. These women are considered to have no need for contraception","Adding It Up all women dataset, Open Science Framework, 2021., Sully EA et al.; Adding It Up: Investing in Sexual and Reproductive Health 2019, New York: Guttmacher Institute, 2020., Sully EA et al."
"% of rural women aged 15–49 not wanting to avoid pregnancy",53,MK,"North Macedonia",2019,n/a,"The categories of women who do not want to avoid pregnancy are those who are infecund, who are unmarried and not sexually active, who want to have a child in the next two years, who are experiencing a pregnancy they identify as intended or who are experiencing postpartum amenorrhea following an intended pregnancy. These women are considered to have no need for contraception","Adding It Up all women dataset, Open Science Framework, 2021., Sully EA et al.; Adding It Up: Investing in Sexual and Reproductive Health 2019, New York: Guttmacher Institute, 2020., Sully EA et al."
"% of rural women aged 15–49 not wanting to avoid pregnancy",38,MD,"Republic of Moldova",2019,n/a,"The categories of women who do not want to avoid pregnancy are those who are infecund, who are unmarried and not sexually active, who want to have a child in the next two years, who are experiencing a pregnancy they identify as intended or who are experiencing postpartum amenorrhea following an intended pregnancy. These women are considered to have no need for contraception","Adding It Up all women dataset, Open Science Framework, 2021., Sully EA et al.; Adding It Up: Investing in Sexual and Reproductive Health 2019, New York: Guttmacher Institute, 2020., Sully EA et al."
"% of rural women aged 15–49 not wanting to avoid pregnancy",64,ME,Montenegro,2019,n/a,"The categories of women who do not want to avoid pregnancy are those who are infecund, who are unmarried and not sexually active, who want to have a child in the next two years, who are experiencing a pregnancy they identify as intended or who are experiencing postpartum amenorrhea following an intended pregnancy. These women are considered to have no need for contraception","Adding It Up all women dataset, Open Science Framework, 2021., Sully EA et al.; Adding It Up: Investing in Sexual and Reproductive Health 2019, New York: Guttmacher Institute, 2020., Sully EA et al."
"% of rural women aged 15–49 not wanting to avoid pregnancy",42,RO,Romania,2019,n/a,"The categories of women who do not want to avoid pregnancy are those who are infecund, who are unmarried and not sexually active, who want to have a child in the next two years, who are experiencing a pregnancy they identify as intended or who are experiencing postpartum amenorrhea following an intended pregnancy. These women are considered to have no need for contraception","Adding It Up all women dataset, Open Science Framework, 2021., Sully EA et al.; Adding It Up: Investing in Sexual and Reproductive Health 2019, New York: Guttmacher Institute, 2020., Sully EA et al."
"% of rural women aged 15–49 not wanting to avoid pregnancy",48,RS,Serbia,2019,n/a,"The categories of women who do not want to avoid pregnancy are those who are infecund, who are unmarried and not sexually active, who want to have a child in the next two years, who are experiencing a pregnancy they identify as intended or who are experiencing postpartum amenorrhea following an intended pregnancy. These women are considered to have no need for contraception","Adding It Up all women dataset, Open Science Framework, 2021., Sully EA et al.; Adding It Up: Investing in Sexual and Reproductive Health 2019, New York: Guttmacher Institute, 2020., Sully EA et al."
